id_sp,kode_pt,nama_pt
B1E2C1BA-7DA9-4D94-AD8D-03A55689849E,041064,Universitas Muhammadiyah Bandung
929A2FC8-08BE-4026-872A-03AC2FC60D36,143044,Sekolah Tinggi Ilmu Hukum Caritas Papua
768302D0-1282-443F-9CE1-03AF46A22A7A,901921,Koninklijke Academie Van Beeldende Kunsten
EA5F905B-F7D8-4597-919D-03C6FE1B30E3,213701,Sekolah Tinggi Agama Islam Kupang
1A6C1025-A0BF-40D1-801C-03D179C57A4B,900343,Chien Kuo Technology University
E8280C89-4986-4A48-B5E7-03D4E86C64CA,064016,Akademi Pertanian Muhammadiyah Pemalang
7BD11310-5EC1-4287-9E89-03D9C8AF3099,045033,Politeknik Kesehatan Bhakti Pertiwi Husada
648A791E-B914-40A3-9F77-03E85EE8B957,901064,Indiana State University
1442D47B-280F-4A09-9A9D-03F205A2DE34,094067,Akademi Keperawatan Putra Pertiwi
C2EE94F5-3C1A-467E-88A1-03F33DD6C201,903390,Kazakh Ablai Khan University of International Relations and World Languages
DF47D5D2-13B3-49B3-90DF-03FBC15D3A78,054035,Akademi Komunikasi Radya Binatama
CFC9FC3D-4D39-411F-B4AB-0403AE87E559,031079,Universitas Jakarta Internasional
1CF93A91-3CCA-4BCB-B1F3-0404201046B4,094134,Akademi Kebidanan Aisyah Kabupaten Pangkep
BA79EC6F-932B-493B-A86B-040535427FCC,013090,Sekolah Tinggi Filsafat Theologia Surya Nusantara
6872A550-1E1B-433D-821E-040B8A527308,901925,Philips International Inst Of Technological Studie
60C35792-80B4-42E3-B665-040CB2410B50,113077,STIKES Sari Mulia
F4245E44-B1AE-4A7E-A762-041C4B8BD4C2,141005,Universitas Kristen Papua
434F60C6-3B34-42BA-BEEC-041CDC6B9D6D,153034,Sekolah Tinggi Keguruan dan Ilmu Pendidikan Surya Kasih
C1F026BC-7FC6-4B36-9B1C-04218AA999BF,900238,Hoseo University
649EB8C4-4040-4B16-80ED-042505F2A068,213662,Sekolah Tinggi Ilmu Tarbiyah Assunniyah Tambarangan Rantau Tapin
3CE038B5-0AD7-4602-B827-042AD448E6E5,033155,Sekolah Tinggi Ilmu Ekonomi Tunas Patria
3227198B-C768-4D8B-BB15-042EC8C63C39,111025,Universitas Sari Mulia
A73B914B-8637-4341-8DD5-042FDCC2DD4E,173071,Sekolah Tinggi Teknologi Pekanbaru
15E89EDC-DA1E-4E30-BF93-043E8F18BF50,902712,University of Gothenburg
847C70D2-CEF0-4874-8C55-045E8E44A72F,115013,Politeknik Bisnis Lamda
12E5E386-7DCF-4B8A-A134-045FA40D5639,024114,Akademi Kebidanan Tunas Harapan Bangsa
66564D0E-688E-41BA-9C1C-0462144D4C6A,901354,Holy Cross Greek Orthodok School Of Theology
5685B2AB-EA52-488D-BC94-047951ADAB38,213542,Sekolah Tinggi Ilmu Tarbiyah Nahdlatul Ulama (STITNU) Al-Farabi Pangandaran
0C620291-E256-4ABA-A968-047DB5A896D8,091056,Universitas Megarezky
8391F7E8-DE7A-4CA4-8C6B-047F977A41B7,233063,Sekolah Tinggi Teologi Injili Indonesia Ambon
D0383362-F496-4305-AAD2-048770650920,031042,Universitas Bung Karno
CB8C6564-1C76-49FB-9A39-048B9CAE8A22,213437,STIS Faqih Asy`ari
32BE7D80-C1D0-4ACD-9E95-048CEC39630D,902953,Drew University
556AEE17-FB64-4728-8463-04998FD68094,175013,Politeknik Lingga
19BF4070-7058-4855-AF02-049A7659F08E,902428,Kangan Batman Tafe
788DEC87-D043-413B-B17C-049D2830F8A8,041107,Universitas Yayasan Pendidikan Imam Bonjol Majalengka
3E7715F6-B014-4C7B-9F29-049DBC650A88,903194,The University of Sydney
AB276AF7-5F9C-4231-8A5D-04A39A4CDE78,900006,Fukuyama University
C4444D37-BCEE-43D3-97A8-04B3D9F1A152,013184,STIKES Darmais Padangsidimpuan
BB8B4FC3-3020-472D-A7B0-04B4EEF14AC0,900346,Chung Yuan Christian University
058D9FF3-1958-4A75-A003-04B65E8E625A,113035,Sekolah Tinggi Ilmu Administrasi Amuntai
BD2029FD-19B3-40DB-AB59-04B8D378368F,073102,Sekolah Tinggi Ilmu Ekonomi Pemnas Indonesia
F3D1F72B-C131-4B47-B0C0-04C5DD03D15F,901355,Humbolt State University
C556FE27-1426-4982-99CE-04C88B9BFA62,425008,Politeknik Ilmu Pelayaran Semarang 
866CB63A-A33F-47D0-9281-04CE6DC92657,202022,IAIN Kendari
AB6F6CBE-1690-4AAD-82BF-04D410FF76D9,903465,Tokyo Institute of Tourism
20573E2A-7ECD-4A76-BBF9-04D73163B3EA,900321,National Taiwan Normal University
AA4FA3AF-5EC8-4908-B310-04DE7B97D537,903229,University of Applied Sciences Upper Austria
A9DA36DF-BDBF-48DC-B73C-04E2B86EEEA0,034109,Akademi Pariwisata Patria Indonesia
CCBA66D6-990D-4DD6-8205-04EE49D1E8F3,233029,Sekolah Tinggi Alkitab Surabaya
6341E5D4-01CD-43B9-BC7B-04EF708E42AA,174018,Akademi Akuntansi Riau 
5EAF76DC-1360-43BA-B57D-04F9FEBD1842,041095,Universitas Indonesia Mandiri
FD0C6D16-699D-46F6-B0E0-04FBAE439ACB,901337,Chapman University
AAF8F802-CC33-4D78-8279-04FCF6EB28E3,043283,STMIK Bina Sarana Global
1D51C4F5-E583-4E2F-BDE5-04FFCF8D634A,031010,Universitas Kristen Krida Wacana
74A7BE83-45EE-43BC-84C3-05038079C9A6,901650,University Of Teesside
26FF7DF8-A9AC-406F-BF30-050F8D5B5082,900920,The University Of Manitoba
2DF46CA2-53FE-449C-9C14-05135C4AB423,014060,Akademi Kebidanan Henderson
DC75D44B-E834-4459-9AFE-051844DE57A1,096001,Akademi Komunitas Dewinatalia
8AE5D494-4205-4532-BE81-051959DA0959,900268,Kyongju University
860765BE-0BC2-422E-803C-051B3D57DF97,233027,Sekolah Tinggi Teologi Yestoya Malang
43308074-2C1C-4B29-ABA0-051F7DA5D935,233151,Sekolah Tinggi Teologi Injili Indonesia Purwokerto
AD7B1F80-5BBF-4347-BCD1-0526490902F2,213407,"STAI Kuala Kapuas, Kalimantan Tengah"
B64E158F-DDE0-47EA-BD71-052682AC184D,034225,Akademi Kesehatan Gigi Ditkesad Jakarta
E35BF6EE-284D-4B9C-9278-05286A7D0901,044049,Akademi Sekretaris Dan Manajemen Kencana Bandung
B336CEB6-0339-4FFE-8E0B-052CE066E1B9,043209,Sekolah Tinggi Teknik Cikarang
7F1442EE-C7CD-41EC-A359-053718D9CFC2,222001,Institut Agama Kristen Negeri Tarutung
ED9A26DA-AFB5-4796-A880-053B00A74BAE,903377,Asbury Theological Seminary
8EFB7D2F-F43C-4E61-9132-053FEEB2A3BB,901243,Case Western Reserve University
D7EC17A5-7F91-4F9A-91FF-054AAEA3667A,043378,Sekolah Tinggi Manajemen Informatika dan Komputer Horizon Karawang
1C2D9BC3-1AFE-4840-AF92-05581E945A7A,083005,STISIP Margarana
7C06AD9E-79BB-46CD-AB0D-0559CB9D0C1E,902906,SOUTHERN FEDERAL UNIVERSITY
92D56A77-DB67-4D39-A0DB-0561F2C75DDE,902999,Schiller College Europe University
2A86E739-B7DA-4827-952D-056495AD127B,900235,Hanyang University
F2294141-0E78-4C62-8C28-057D7057BE9D,045006,Politeknik Krakatau
7FFBB4E4-37CF-4A68-B226-0590BA22C912,024144,Institut Citra Internasional
27532AE3-89D4-4000-B1F0-05952FA8956F,161001,Universitas Kristen Indonesia Tomohon
2B4F317B-FEC5-49FD-AC97-0595CFCC6D7C,073040,STKIP PGRI Tulungagung
2420443A-AEF0-4E80-9BAA-059772C6019A,901492,Harnell College
B3025D81-A7BA-4530-B495-059BE48FF5ED,083062,STKIP Yapis Dompu
AA94F6F1-42B2-49F5-932D-059CB607C52F,901895,Universiteit Van Amsterdam
C97A8E7E-C33B-45B7-9807-05A1586FF0F2,213176,STAI Nahdlatul Ulama (STAINU) Jakarta
